bq#,title,comp_date,composer,dates,arranger,instrumentation,state,ui_library,digitized,notes,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29
0,God Bless America,,Berlin,,Dickow,,copy,n,y,,,,,,,,,,,,,,,,,,,
1,America the Beautiful,,Bates,,Dickow,,orig,n,y,,,,,,,,,,,,,,,,,,,
2,Battle Hymn of the Republic,,Howe,,Dickow,,orig,n,y,,,,,,,,,,,,,,,,,,,
3,The Star Spangled Banner,,Smith,,Dickow,,orig,n,y,,,,,,,,,,,,,,,,,,,
4,"American Bandstand Journal, Suite No. 1 - 4",1850,Friederich,,,,orig,n,y,,,,,,,,,,,,,,,,,,,
5,Moscow Centennial Fanfare,,Billingsley,,,,orig,n,y,,,,,,,,,,,,,,,,,,,
6,Ode to Idaho,,Macklin,,Dickow,,orig,n,y,,,,,,,,,,,,,,,,,,,
7,Anagrams,1982,Dickow,,,,orig,,y,,,,,,,,,,,,,,,,,,,
8,Brass Quintet,1966,Frackenpohl,,,,original,,y,,,,,,,,,,,,,,,,,,,
9,Brass Quintet No. 3,,Wilder,,,,original,,y,,,,,,,,,,,,,,,,,,,
10,Suite from the Monteregian Hills,1976,Calvert,(1928-1991),,,new typeset,,y,,,,,,,,,,,,,,,,,,,
11,Canzona Bergamasca,1966,Scheidt,(1587-1654),De Jong,,original,,,,,,,,,,,,,,,,,,,,,
12,Carmen Fantasia,1988,Bizet,,Holcombe,,orig,,y,,,,,,,,,,,,,,,,,,,
13,Caro dolce ben mio,1979,Gabrieli,(1520-1586),Swainhart,,orig,,y,,,,,,,,,,,,,,,,,,,
14,Contrapunctus I,1960,Bach,(1685-1750),King,,orig,,y,,,,,,,,,,,,,,,,,,,
15,Contrapunctus III,1955,Bach,(1685-1750),King,,orig,,y,,,,,,,,,,,,,,,,,,,
16,Contrapunctus IV,1969,Bach,(1685-1750),Nagel,,original,n,y,,,,,,,,,,,,,,,,,,,
17,Contrapunctus IX,1959,Bach,(1685-1750),Glasel,,orig,n,y,"missing tpt1, copy avail.",,,,,,,,,,,,,,,,,,
18,Suite for Brass Quintet Scottish/Chorale/Hornpipe #1,,Ascher,,,,copy,n,y,,,,,,,,,,,,,,,,,,,
19,Delineations,1976,Brown,,,,orig,,y,,,,,,,,,,,,,,,,,,,
20,"Divertissement, Op. 50",1984,Barnes,,,,orig,,y,,,,,,,,,,,,,,,,,,,
21,Equale Dances for Brass Quintet,1987,Gregson,,,,orig,,y,,,,,,,,,,,,,,,,,,,
22,Fanfare and Processional,1968,Amram,,,,copy,n,y,,,,,,,,,,,,,,,,,,,
23,Five Movements for Brass Quintet,1965,Adler,,,,orig,,y,,,,,,,,,,,,,,,,,,,
24,Five Pieces,1961,Holborne,( -1602),King,,original,n,y,,,,,,,,,,,,,,,,,,,
25,Contrapunctus V,,Bach,,King,,original,,y,,,,,,,,,,,,,,,,,,,
26,Folk Dances,,Schostakovich,,Dickow??,,orig,,y,,,,,,,,,,,,,,,,,,,
27,Four Dances,1967,Heiden,,,,orig,,y,,,,,,,,,,,,,,,,,,,
28,Four Moods for Brass Quintet,1957,Harris,,,,copy,n,y,,,,,,,,,,,,,,,,,,,
29,4 Sardanas,1986,Morera,,Miller,,orig,,y,,,,,,,,,,,,,,,,,,,
30,Four Songs,1977,Ives,,Singleton,,original,n,y,,,,,,,,,,,,,,,,,,,
31,Four Songs for Brass,,Maurer,(1789-1878),Nagel,,original,,y,,,,,,,,,,,,,,,,,,,
32,"Girl with the Flaxen Hair from Preludes, Book 1",1983,Debussy,,Kulesha,,orig,,y,,,,,,,,,,,,,,,,,,,
33,The Golyardes' Grounde,1972,Forsyth,,,,orig,M557.4.F6G6 1979,y,,,,,,,,,,,,,,,,,,,
34,"Destiny, A Northwest Brass Rag",1985,Frackenpohl,,,,orig,,,,,,,,,,,,,,,,,,,,,
35,Killer Tango,1984,Kompznek,,,,orig,,y,,,,,,,,,,,,,,,,,,,
36,Laudes,1971,"Bach, Jan",,,,orig,,y,,,,,,,,,,,,,,,,,,,
37,Music for Brass Instruments,1944,Dahl,,,"2 Tpt, Hn, 2 Tbn, Tba (ad lib.)",orig,,y,,,,,,,,,,,,,,,,,,,
38,Music Hall Suite,1964,Horovitz,,,,orig,,y,,,,,,,,,,,,,,,,,,,
39,Newark Siege,1985,Jenkins,,Baldwin,,orig,,y,,,,,,,,,,,,,,,,,,,
40,Overture to Berenice,,Handel,,Glick,,orig,n,y,,,,,,,,,,,,,,,,,,,
41,Pacsirta - Lark,1985,Dinicu,,,,orig,,y,,,,,,,,,,,,,,,,,,,
42,Rounds and Dances,1980,"Bach, Jan",,,2111,orig,,y,,,,,,,,,,,,,,,,,,,
43,Polka from Hornsmoke,1978,Schickele,,,,orig,,y,,,,,,,,,,,,,,,,,,,
44,Sleepers Awake Wachet auf,,Bach,,Gemberling,,orig,,y,,,,,,,,,,,,,,,,,,,
45,Selections from Porgy and Bess,,Bernstein,,Gale,,copy,n,y,,,,,,,,,,,,,,,,,,,
46,Quintet,1961,Arnold,,,,orig,M557.4.A7Q5 1961,y,,,,,,,,,,,,,,,,,,,
47,Quintet,1973,Ewald,,Ensemble Publications,,orig,,y,,,,,,,,,,,,,,,,,,,
48,Quintet for Brass Instruments,1966,Etler,,,,orig,,y,,,,,,,,,,,,,,,,,,,
49,Raiders of the Lost Arc,,Williams,,E. Todd Fuje ?,,orig,,,,,,,,,,,,,,,,,,,,,
50,Sabre Dance from Gayne Ballet,1982,Khachaturian,,Broiles,,orig,,y,,,,,,,,,,,,,,,,,,,
51,Scherzo and Lied,1961,Maurer,(1789-1878),Nagel,,orig,n,y,,,,,,,,,,,,,,,,,,,
52,16th Century Carmina,1959,,,Glasel,,original,,y,,,,,,,,,,,,,,,,,,,
53,Sonata for Brass Quintet,1970,Haines,,,,copy,,n,,,,,,,,,,,,,,,,,,,
54,"Musikalisch-türkischer Eulenspiegel, Sonata No. 29 von Die Bȁnkelsȁngerlieder","1684, 1958",Speer,(1636-1707),King,,orig,,y,,,,,,,,,,,,,,,,,,,
55,Cuprioles,,Van der Roost,,,,orig,,y,,,,,,,,,,,,,,,,,,,
56,Sonata No. 22 from Hora Decima (Leipzig),"1670, 1956",Pezel,(1639-1694),King,,copy,n,y,,,,,,,,,,,,,,,,,,,
57,Sonatine,1951,Bozza,,,,orig,,y,,,,,,,,,,,,,,,,,,,
58,Suite for Brass Quintet,1971,Reynolds,,,,orig,,y,,,,,,,,,,,,,,,,,,,
59,Summer Music,1989,Klimko,,,,orig,,y,,,,,,,,,,,,,,,,,,,
60,Duke Ellington Suite Vol. 1,1995,Ellington,,Gale,,orig,,y,,,,,,,,,,,,,,,,,,,
61,Three Pieces,1960,Maurer,(1789-1878),Nagel,,original,n,y,,,,,,,,,,,,,,,,,,,
62,Toccata and Fugue in D minor,1985,Eberlin,,Baldwin,,orig,,y,,,,,,,,,,,,,,,,,,,
63,Toccata and Fugue in D minor,1979,Bach,(1685-1750),Mills,,orig,,y,,,,,,,,,,,,,,,,,,,
64,Transcendental Brass,1982,Scriabin,,Morgan,,orig,,y,,,,,,,,,,,,,,,,,,,
65,Two Sonatas,,Speer,,Ensemble Publications,"2 crnt, 3 tbn (hrn sub)",original,n,y,,,,,,,,,,,,,,,,,,,
66,Variations Sur Une Chanson de Canotier,1965,Childs,,,,orig,,y,,,,,,,,,,,,,,,,,,,
67,"Variations on ""Jerusalem the Golden""",1974,Ives,,Brion,BQ and Concert Band,orig,,y,,,,,,,,,,,,,,,,,,,
68,Young Frankenstein,,,,Dickow??,,copy,n,y,,,,,,,,,,,,,,,,,,,
69,"Pas Redoublé, Op. 86",1987,Saint-Saëns,,Frackenpohl,,orig,,y,,,,,,,,,,,,,,,,,,,
70,Jazz Overture,1985,Wolking,,,,orig,,y,,,,,,,,,,,,,,,,,,,
71,Equisses,1983,Naulais,,,,orig,,y,,,,,,,,,,,,,,,,,,,
72,Children of the Dancing Valley,1988,Mauldin,,,,orig,,y,,,,,,,,,,,,,,,,,,,
73,Scherzo,1966,Cheetham,,,,copy,,y,,,,,,,,,,,,,,,,,,,
74,"Sonata, ""Saint Mark""",1984,Albinoni,(1671-1750),Hickman,,orig,,y,,,,,,,,,,,,,,,,,,,
75,Glad Rags for Brass Quintet,1976,Various,,Frackenpohl,,orig,n,y,"missing tpt2 tba, copy avail.",,,,,,,,,,,,,,,,,,
76,"Brass-Quintet, Op. 65",,Koetsier,,,,orig,,y,,,,,,,,,,,,,,,,,,,
77,Revoici Venir Le Printemps,1984,Jeune,,Caens,,orig,,y,,,,,,,,,,,,,,,,,,,
78,Suite Bretonne,1989,Guigou,,,,orig,,,,,,,,,,,,,,,,,,,,,
79,Sonata No. 1,,Pezel,,King,,orig,,y,,,,,,,,,,,,,,,,,,,
80,Sonata for Trumpet,1992,Purcell,(1659-1695),Perterson,,orig,,y,,,,,,,,,,,,,,,,,,,
81,Classical Suite,1992,Barnes,,,,orig,,y,,,,,,,,,,,,,,,,,,,
82,"Fanfare to Preceed the Ballet ""La Peri""",1927,Dukas,,Barrington,,original,n,y,,,,,,,,,,,,,,,,,,,
83,Kanon,,Pachelbel,,Mills,,orig,,y,,,,,,,,,,,,,,,,,,,
84,Suite of Elizabethan Dances,,Holborne,,Schwarz,,orig,n,y,,,,,,,,,,,,,,,,,,,
85,Quintet No. 2,,Ewald,,Empire Brass,,orig,,y,no tuba orig,,,,,,,,,,,,,,,,,,
86,Parable for Brass Quintet,,Persichetti,,,,orig,,y,,,,,,,,,,,,,,,,,,,
87,Three Songs,,Brahms,,Lockwood,,orig,,y,,,,,,,,,,,,,,,,,,,
88,"Brass Quintet, Op. 16",,White,,,,orig,,y,,,,,,,,,,,,,,,,,,,
89,Brass Quintet No. 5,,Wilder,,,,orig,,y,,,,,,,,,,,,,,,,,,,
90,Brass Quintet No. 1,,Wilder,,,,original,,,,,,,,,,,,,,,,,,,,,
91,"Fire, Fire",,Morley,,Brown,,orig,,y,,,,,,,,,,,,,,,,,,,
92,Sonata No. 3 from hora Decima,,Pezel,,King,,orig,,y,,,,,,,,,,,,,,,,,,,
93,Rondo Ritmico,1983,Frackenpohl,,,,copy,,,,,,,,,,,,,,,,,,,,,
94,Artemis for Brass Quintet,1989,Rouse,,,,orig,,y,,,,,,,,,,,,,,,,,,,
95,Brass Quintet,1987,Miller,,,,orig,,ho  y,,,,,,,,,,,,,,,,,,,
96,Little Brown Jug,1965,Traditionsl,,Rosenthal,,copy,n,y,,,,,,,,,,,,,,,,,,,
97,Divertimento for Brass Quintet,1970,Husa,,,,orig,,,,,,,,,,,,,,,,,,,,,
98,Goldberg Variation No. 30,1987,Bach,(1685-1750),Slechta,,copy,,y,,,,,,,,,,,,,,,,,,,
99,Mini Overture,1984,Lutoslawski,,,,orig,,y,,,,,,,,,,,,,,,,,,,
100,Centone No. 5,1970,Scheidt,(1587-1654),Reynolds,,copy,n,y,,,,,,,,,,,,,,,,,,,
101,The Casbah of Tetouan,1994,Turner,,,,orig,,y,,,,,,,,,,,,,,,,,,,
102,Enchanted Forest Suite,1986,Scearce,,,,orig,,y,,,,,,,,,,,,,,,,,,,
103,Four Outings for Brass,1975,Previn,,,,orig,,y,,,,,,,,,,,,,,,,,,,
104,Suite for Brass Quintet,1980,Devreese,,,,orig,,,,,,,,,,,,,,,,,,,,,
105,"Kinderzirkus, Op. 79/B",1991,Koetsier,,,,orig,,y,,,,,,,,,,,,,,,,,,,
106,The Pink Panther,,Mancini,,Frackenpohl,,copy,n,y,,,,,,,,,,,,,,,,,,,
107,A Nightingale Sang in Berkely Square,1940,Maschwitz,,Gale,,copy,n,y,,,,,,,,,,,,,,,,,,,
108,Sonate,"1937, 1980",Hindemith,,Borsheim,,copy,n,y,,,,,,,,,,,,,,,,,,,
109,Washington Post March,1981,Sousa,,Empire Brass,,orig,n,y,,,,,,,,,,,,,,,,,,,
110,National Emblem March,1981,Bagley,,Fennell,,orig,,y,"missing tpt1, copy avail.",,,,,,,,,,,,,,,,,,
111,Pomp and Circumstance,,Elgar,,Dickow??,,orig,,y,,,,,,,,,,,,,,,,,,,
112,West Side Story,1957,Bernstein,,Gale,,orig,,y,,,,,,,,,,,,,,,,,,,
113,Frost Fire,2000,Ewazen,,,,orig,,y,,,,,,,,,,,,,,,,,,,
114,Dance,1973,Renwick,,,,orig,,,,,,,,,,,,,,,,,,,,,
115,Mozart on Parade,1985,Schickele,,,,orig,,,,,,,,,,,,,,,,,,,,,
116,A Brass Menagerie,,Cheetham,,,,orig,,y,,,,,,,,,,,,,,,,,,,
117,Prelude and Presto,1989,Vizzutti,,,,orig,,y,,,,,,,,,,,,,,,,,,,
118,Suite for Brass Quintet,1994,Stravinsky,,Frackenpohl,,orig,,y,,,,,,,,,,,,,,,,,,,
119,The Mysterious Brass Band,2000,Barnett,,,,orig,,y,,,,,,,,,,,,,,,,,,,
120,Four Sketches,1991,Plog,,,,orig,,y,,,,,,,,,,,,,,,,,,,
121,Es ist ein Ros' entsprungen,"1607, 1995",Praetorius,,"J. Brahms, tr. Lewis Niven",,orig,,,,,,,,,,,,,,,,,,,,,
122,Suite Française,1967,Bozza,,,,orig,,y,,,,,,,,,,,,,,,,,,,
123,Edwardiana,1995,Gout,,,,orig,,y,,,,,,,,,,,,,,,,,,,
124,English Folk Song Suite,1999,Vaughn Williams,(1872-1958),Villanueva,,orig,,y,,,,,,,,,,,,,,,,,,,
125,Colchester Fantasy,2000,Ewazen,,,,orig,,y,,,,,,,,,,,,,,,,,,,
126,A Western Fanfare,2002,Ewazen,,,,orig,,y,,,,,,,,,,,,,,,,,,,
127,Street Song,1988,Tilson Thomas,,,,orig,n,y,,,,,,,,,,,,,,,,,,,
128,Four Swiss Tunes,1977,,,Howarth,,orig,n,y,"missing tbn, copy avail",,,,,,,,,,,,,,,,,,
129,Coup de Brass,1981,Tull,,,,copy,n,y,"missing tpt1, copy avail.",,,,,,,,,,,,,,,,,,
130,Sonata XII,1972,Schmelzer,(1620-1680),Stine,,copy,n,y,,,,,,,,,,,,,,,,,,,
131,Aespo Suite,1984,Sapieyevski,,,,orig,,y,,,,,,,,,,,,,,,,,,,
132,Folk Song Fantasy,1979,Horovitz,,,,copy,,,,,,,,,,,,,,,,,,,,,
133,Scherzo from the Serenade,2003,Brahms,,Scriggins,,orig,,y,,,,,,,,,,,,,,,,,,,
134,Amparito Roca,1992,Texidor,,Endsley,,orig,,y,,,,,,,,,,,,,,,,,,,
135,Canzona per Sonare No. 4,,Gabrieli,,Page,,copy,,,,,,,,,,,,,,,,,,,,,
136,Seacoasts,2000,Walker,,,,orig,,y,,,,,,,,,,,,,,,,,,,
137,3 Madrigaux slaves,1992,Jevtic,,,,orig,,y,,,,,,,,,,,,,,,,,,,
138,Fantasie und Variationen,1984,Arban,(1825-1889),Hinterbichler,,orig,,y,,,,,,,,,,,,,,,,,,,
139,"March, Op. 99",1991,Prokofiev,,Stanley,,copy,n,y,,,,,,,,,,,,,,,,,,,
140,Amazing Grace,1986,Traditional,,Anderson,,copy,n,y,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Passacaglia for Brass,1999,Giomo,,,,copy,n,y,,,,,,,,,,,,,,,,,,,
143,The Canadian Brass Rag,1974,Rathburn,,,,copy,n,y,,,,,,,,,,,,,,,,,,,
144,Three Pieces from Lieutenant Kije,1995,Prokofiev,,John Wilson and Paul Hanna,,copy,n,y,,,,,,,,,,,,,,,,,,,
145,Soundings on the Erie Canal,1994,Turner,,,,orig,,y,,,,,,,,,,,,,,,,,,,
146,Petits Démons et Grandes Merveills,1989,Caillat,,,,orig,,y,,,,,,,,,,,,,,,,,,,
147,Brass Quintet No. 2,1972,Frackenpohl,,,,copy,M557.4.F72B72 1972,y,,,,,,,,,,,,,,,,,,,
148,Animal Ditties VII,1997,Plog,,,BQ and Narrator,orig,,y,,,,,,,,,,,,,,,,,,,
149,Music For Five Brass,2010,Balmages,,,,orig,,y,,,,,,,,,,,,,,,,,,,
150,Makin' Whoopee,2013,Donaldson,,Sielert,,orig,,y,,,,,,,,,,,,,,,,,,,
151,"Concerto in A minor for 2 Violins and Strings, Op. 3 #8 RV522",2013,Vivaldi,,"J.S. Bach, tr David Baldwin",,copy,n,y,,,,,,,,,,,,,,,,,,,
152,Exaltation for Brass Quintet,2000,Balmages,,,,copy,n,y,,,,,,,,,,,,,,,,,,,
153,Tin Roof Blues,1997,New Orleans Rhythm Kings,,Gale,,copy,n,y,,,,,,,,,,,,,,,,,,,
154,"Fantasia in C minor, BWV 570",2005,Bach,(1685-1750),Allen,,copy,n,y,,,,,,,,,,,,,,,,,,,
155,Fire Dance,2004,DiLorenzo,,,,copy,n,y,,,,,,,,,,,,,,,,,,,
156,When You Are Old,,Erskin,,McWhorter,,copy,n,y,,,,,,,,,,,,,,,,,,,
157,Kaitsenko,1992,Turner,,,,orig,,y,,,,,,,,,,,,,,,,,,,
158,Tricrotism,,Pettiford,,Sielert,,orig,,y,,,,,,,,,,,,,,,,,,,
159,Tune Up,,Davis,,Sielert,,copy,,y,,,,,,,,,,,,,,,,,,,
160,Caledonia,,Gault,,,,orig,,y,,,,,,,,,,,,,,,,,,,
161,"Russian Suite from the Album for the Young, Op. 39",,Tchaikovsky,,Singleton,,copy,n,y,,,,,,,,,,,,,,,,,,,
162,Variations on the Romanesca from the Dubliner Virginal Book,,Anonymous,,Singleton,,copy,n,y,,,,,,,,,,,,,,,,,,,
163,Brass Quintet No. 2,,Nelhybel,,,,copy,n,y,,,,,,,,,,,,,,,,,,,
164,All Breathing Life,,Bach,,Smith,2111,copy,n,y,,,,,,,,,,,,,,,,,,,
165,Largo al Factotum,,Rossini,,Kulesha,2111,copy,,y,,,,,,,,,,,,,,,,,,,
166,Allegro and Air from King Arthur,,Purcell,(1658-1695),King,,copy,,y,,,,,,,,,,,,,,,,,,,
167,Wachet Auf Sleepers Awake,,Krebs,,Lockwood,,copy,,n,,,,,,,,,,,,,,,,,,,
168,Selections from the Sound of Music,,Rogers and Hammerstein,,Gale,,copy,,y,,,,,,,,,,,,,,,,,,,
169,Stephen Foster Medley,,Foster,,Gale,,copy,,y,,,,,,,,,,,,,,,,,,,
170,Lassus Trombone,,Filmore,,Singleton,,copy,,y,,,,,,,,,,,,,,,,,,,
171,Just a Closer Walk,,Traditional,,Gillis,,copy,,y,,,,,,,,,,,,,,,,,,,
172,Ragtime Suite for Brass Quintet,,Various,,Frackenpohl,,copy,,y,,,,,,,,,,,,,,,,,,,
173,Fly Me to the Moon,,Howard,,Gale,,copy,,y,,,,,,,,,,,,,,,,,,,
174,Six Marches for Brass Quintet,,Various,,Schmidt,,copy,,y,,,,,,,,,,,,,,,,,,,
175,The Conquered Quest,,Wan-Ki Lee,,,,orig,,n,,,,,,,,,,,,,,,,,,,
176,The Saints' Hallelujah,,Various,,Henderson,,copy,,y,,,,,,,,,,,,,,,,,,,
177,Sonata for Brass Quintet,1980,Bourgeois,,,,copy,,y,,,,,,,,,,,,,,,,,,,
178,Suite for Brass Quintet,1965,Haufrecht,,,,copy,,y,,,,,,,,,,,,,,,,,,,
179,Wo die schönen Trompeten blasen,,Mahler,,Block,,copy,,y,,,,,,,,,,,,,,,,,,,
180,Sonata No. 2,,Pezel,,King,,copy,,y,,,,,,,,,,,,,,,,,,,
181,Satirical Dance,,Shostakovich,,Raph,,copy,,y,,,,,,,,,,,,,,,,,,,
182,Ricochet,1994,Turner,,,,copy,,y,,,,,,,,,,,,,,,,,,,
183,Passacaglia and Fugue in C minor,1981,Bach,,Balm,,copy,,y,,,,,,,,,,,,,,,,,,,
184,Quintet No. 1,,Ewald,,Thomas,,copy,,y,,,,,,,,,,,,,,,,,,,
185,Five Pieces for Brass Choir,,Bach,,Gordon,,copy,,y,,,,,,,,,,,,,,,,,,,
186,Three Pieces,,Holborne,,Glassel,,original,,,,,,,,,,,,,,,,,,,,,
187,Galliard battaglia,,Scheidt,,King,,original,,,,,,,,,,,,,,,,,,,,,
188,Four Essays for Brass Quintet,,Riley,,,,original,,y,,,,,,,,,,,,,,,,,,,
189,"Jazz Waltz ""Pink Rabbit""",,Peterson,,,,orig,,y,,,,,,,,,,,,,,,,,,,
190,Variations Abominables,1989,Girard,,,,orig,,y,,,,,,,,,,,,,,,,,,,
191,Three Fanfares,,Korngold,,,,orig,,y,,,,,,,,,,,,,,,,,,,
192,Consort Music for Brass Quintet,,Adson,,Baldwin,,orig,,y,,,,,,,,,,,,,,,,,,,
193,Sarabande and Minuet,,Bach,,Corley,,orig,n,y,"missing brtn, copy avail.",,,,,,,,,,,,,,,,,,
194,Two Madrigals,,Wilbye,,Baldwin,,orig,,y,,,,,,,,,,,,,,,,,,,
195,"Expressions for Brass Quintet, Op. 81","1951, 1981",Tcherepnin,,Borsheim,,orig,,,,,,,,,,,,,,,,,,,,,
196,Two Songs,,Brahms,,Lockwood,,orig,,y,,,,,,,,,,,,,,,,,,,
