Library,Composer,Arranger,Title,Drawer,Envelope,Copies,Type,Publisher,PerformanceDate,PlayingTime,Score,Comments
Marching Band,"Adam, A.",Laurendeau,Cantique de Noel,1,1-40,,Christmas,Fischer,,,"Cornet, baritone, or trombone solo",
Marching Band,Adderly & Brown Jr.,Moffit,Work Song march,11,2-462,,Marching band,Leonard,,,,
Marching Band,"Adler, Richard",,In the driver's seat,10,2-403,,,Richard adler,,,,
Marching Band,Adler-rose,Hill,Hernando's Hideaway,9,2-277,,Pop,Frank,,,,
Marching Band,Akers,,Berkshire Hills,Wksh 15,3-96,,Overture,Bourne,,,,
Marching Band,Alexander,,Colossus of Columbia,5,2-30,,March,Barnhouse,,,,
Marching Band,Alford,,By Land and Sea,5,2-19,,March-ceremonial,Boosey & Hawkes,,,,
Marching Band,Alford,,Colonel Bogey,5,2-29,,Concert march,Boosey & Hawkes,,,,
Marching Band,Alford,,Dunedin,8,2-252,,Concert march,Boosey & Hawkes,,,,
Marching Band,Alford,,Glory of the Gridiron,5,2-50,,March,FitzSimons,,,,
Marching Band,"Alford, H",,Purple Carnival,6,2-113,,March,"Schirmer, G.",,,,
Marching Band,"Alford, Harry",,Call of the elk,5,2-20,,March,Alford,,,,
Marching Band,"Alford, K",,Vanished Army,7,2-154,,Concert march,Boosey & Hawkes,,,,
Marching Band,Allen/Sheafe,Yoder,Washington & Lee Swing,11,2-479,,,,,,,
Marching Band,"Allison, W.A.",,Unitas,10,2-368,,Quick march,R. Smith & co.,,,,
Marching Band,"Anderson, Leroy","Lang, Phillip",Promenade,2,1-72,,,Mills,,3:00,Cond.,
Marching Band,"Anderson, Leroy",,Ticonderoga,7,2-145,,March,Mills,,,,
Marching Band,Anthony,,Trumpet boogie,10,2-352,,Pop,Leonard,,,,
Marching Band,"Arberg, H.W.",Haufrecht,"Army Goes Rolling Along, the (Caissons)",9,2-289,,March,Broadcast,,,,
Marching Band,"Arlen, Harlod",Moffit,I love a parade,10,2-394,,,Harms,,,Full,
Marching Band,Arnold,Warrington,Children's marching song,9,2-298,,March,Miller,,,"(Nick, Nack, Paddy Whack)",
Marching Band,Auken,,Block Band Jazz,10,2-348,,,Leonard,,,,
Marching Band,Auken,,Down by the riverside,10,2-343,,Jazz march,Leonard,,,,
Marching Band,"Auken, Van",,Mambo Marcho,9,2-280,,Pop,Leonard,,,,
Marching Band,"Auken, Van",,Rockin' Rhythm,9,2-344,,Swing-march,Leonard,,,,
Marching Band,"Auken, Van",,Swingin' on Parade,10,2-347,,,Leonard,,,,
Marching Band,"Auken, Van",,Tailgate ramble,3,1-160,,,,,,,
Marching Band,Axton,Holcombe & Nowak,Joy to the world,12,2-471,,Marching band,J.W. Pepper 7 Pon,,,,
Marching Band,Bach,Lang,Air From suite in D,Wksh 13,3-17,,,Schirmer,,,Full,
Marching Band,Bach,Leidzen,Kom Susser tod,1,1-46,,Chorale,,,,"Transcription ""come sweet death"" CF # V1635",
Marching Band,Bach,Mairs,Christ Lay in Bonds of Death,wksh 15,3-128,,Chorale,Bourne,,,,
Marching Band,Bach,Whitney,In thee is Gladness,Wksh 14,3-94,,Chorale,Bourne,,,Full,
Marching Band,"Bach, Beethoven, Brahms",Erickson,"Three B's, The",Wksh 14,3-81,,Suite,Bourne,,,,
Marching Band,"Bach, J.Christian",Lake,Marche Noble,2,1-54,,Processional March,Ludwig,,,Cond.,
Marching Band,"Bach, J.S.",Erickson,"Chaconne, fr, Partita no. 2, in d mio., for vn.",17,3-225,,,Bourne,,8:30,Full,
Marching Band,"Bach, Schumann",,Two Chorales,15,3-113,,,Bourne,,,,
Marching Band,Backer,,I'd like to buy the world a coke,11,2-460,,Marching band,Leonard,,,,
Marching Band,Backer/Griffith,Edmondson,Welcome to Miller Time,12,2-494,,,Miller,,,,
Marching Band,Baley,,National Emblem,6,2-94,,March,Jacobs,,,,
Marching Band,Band book,"Hall, R.B.",RBH,,Cab. 6,,March Folio,Fischer,,,,
Marching Band,Barr,,Rhumba for Trumpet,16,3-162,,Solo,Bourne,,,Full,
Marching Band,Barth,,Frat,5,2-46,,Pep song,Sam Fox,,,2nd copy;/Frat/Sabre & spurs,
Marching Band,Bauduc,Yoder,South Rampart Street parade,8,2-209,,Jazz,Feist,,,,
Marching Band,Beadell,,Song of Normandy,16,3-180,,,Belwin,,,,
Marching Band,Bell/Kool & the gang,"Burden, James",Celebration,12,2-502,,,Columbia Pictures Pub.,,,,
Marching Band,"Bellstedt, Herman",Simon,Napoli,2,1-68,,Cornet & band,Simon,,,,
Marching Band,Benjamin & Duncan,,Six Ceremonial Fanfares,10,2-369,,Fanfares,Boosey & Hawkes,,,,
Marching Band,Bennett,,Concord,5,2-32,,March,Fillmore,,,,
Marching Band,Bennett,,Pigskin Pageant,6,2-111,,March,Fischer,,,,
Marching Band,"Bennett, H.",,Military Escort,9,2-307,,March,Fillmore,,,,
Marching Band,Bergh,Lake,Pledge of Allegiance to the Flag,8,2-194,,March w/ vocal parts,Fox,,,,
Marching Band,Berlin,Lake,Alexander's Ragtime band,7,2-168,,Pop,Berlin,,,,
Marching Band,Berlin,Leidzen,God Bless America,8,2-197,,Patriotic,Berlin,,,,
Marching Band,Berlioz,Erickson,March of the pilgrims,17,3-196,,,Belwin,,,,
Marching Band,Bibo,Yoder,Stanford Scalp Song,7,2-162,,School Song,Robbins,,,,
Marching Band,Bikvich,,"Earth, wind & fire",12,2-508,,,Manuscript,,,,
Marching Band,Bilik,,American Civil War fantasy,18,3-242,,Wkshop,Southern Music,,,Full,
Marching Band,Billingsley,,Fanfare #1,9,2-281,,Football,MS,,,,
Marching Band,Billingsley,,Fight song coda,10,2-395,,,,,,,
Marching Band,"Bishop, H.R.","Lax, Fred","Lo, Hear the gentel lark",2,1-50,,Flute/clarin/duet w/ band,Fischer,,,From Gilmore's band library,
Marching Band,"Blankenburg, H.L.",Winter,Gladiator's Farewell,10,2-370,,March,Boosey & Hawkes,,,,
Marching Band,"Bloom, Rube",Bennett,Song of the Bayou,Wksh 17,3-199,,,Leo Feist,,5:23,w/ wout/vocal,
Marching Band,"Bloomquist, Clarence",Ruhl,Freedom Victory march,Wksh 15,3-125,,March,Ziegler,,,,
Marching Band,Bodher,Klump,The '76 March,11,2-445,,,,,,,
Marching Band,Bonner/Gordon,,Happy together,10,2-414,,,,,,,
Marching Band,"Bono, S",Leonard,The beat goes on,10,2-419,,,,,,,
Marching Band,Booher,Klump,My America,11,2-444,,,,,,,
Marching Band,Boorn,,Queen City,6,2-115,,March,Fillmore,,,,
Marching Band,Borland,,Coronation Fanfare,10,2-359,,Fanfare,,,,,
Marching Band,Boskerck,Heine,Semper Paratus,8,2-224,,March,Fox,,,Square dance medley reverse side,
Marching Band,Bowles,,Frankie & Jonny a Go-Go,11,2-480,,,,,,,
Marching Band,Brahms,eymann,Symphony #3 (themes),16,3-190,,,Belwin,,,,
Marching Band,Brockenshire,,Captain anderson,5,2-21,,March,Fischer,,,,
Marching Band,Brockenshire,,Cavalry soldier,5,2-22,,March,Fischer,,,,
Marching Band,Brockenshire,,Glory of the Trumpets,5,2-51,,March,Fischer,,,,
Marching Band,Brown,Briegel,Beer barrel polka,7,2-169,,Dance-pop,Shapiro Bernstein,,,,
Marching Band,Brown,Caruso,Temptation,10,2-398,,,MS,,,,
Marching Band,Bunnell,Tatgenhorst,A Horse with no name,11,2-474,,Marching band,W.B. music Corp.,,,,
Marching Band,Burt,Dapp,King of the Highway,6,2-73,,March,,,,,
Marching Band,Cacauas/Wood,moffit,Discover America,10,2-405,,,Leonard,,,w/ Halftinia Show,
Marching Band,Cacavas,,Aria for Winds,16,3-163,,,Bourne,,,,
Marching Band,Cacavas,,Ballet Song,Wksh 14,3-79,,,Bourne,,,Full,
Marching Band,Cacavas,,Ceremony for Winds,16,3-146,,,Bourne,,,,
Marching Band,Cacavas,,Five Fanfares,15,3-140,,Fanfare,Bourne,,,,
Marching Band,Cacavas,,Gallant Boulvevardier,15,3-129,,Concert march,Bourne,,,,
Marching Band,Cacavas,,Grecian Theme  & Dance,15,3-143,,,Bourne,,,Full,
Marching Band,Cacavas,,Matador,15,3-97,,,Bourne,,,Full,
Marching Band,Cacavas,,Mister Varsity,Wksh 15,3-122,,Quickstep March,Bourne,,,,
Marching Band,Cacavas,,Mister Varsity,18,3-257,,March,Bourne,,,Cond.,
Marching Band,Cacavas,,Starburst,Wksh 15,3-131,,March,Bourne,,,,
Marching Band,Cacavas,,Starburst,15,3-131,,March,Bourne,,,,
Marching Band,"Cacavas, John",,Gallent Boulevardier,Wksh 15,3-129,,Concert March,Bourne,,,,
Marching Band,Cameron,Moffit,Road Runner Theme,11,2-465,,Marching Band,Warner Bros.,,,,
Marching Band,"Capua, Di","Alford, H","Maria, Mari!",6,2-85,,Nov. Concert march,Kjos,,,,
Marching Band,Carnes,,Alaska Amrch,10,2-350,,,Carnes,,,,
Marching Band,Carter,,Overture For winds,,3-32,,,Bourne,,,Full,
Marching Band,Carter,,Overture in Eb,16,3-164,,,Bourne,,,Full,
Marching Band,Carter,,Seminole Stomp,Wksh 15,3-120,,Jazz,Bourne,,,Ugh!,
Marching Band,Castillo/Kupka,Evans,So very hard to go,8,2-210,,,,,,,
Marching Band,Cetera/Pankow,Edmondson,Fellin' stronger every dy,8,2-201,,,,,,,
Marching Band,Chabrier,Irons,Espana,Wksh 14,3-86,,Overture,Belwin,,,Full,
Marching Band,Chambers,Roberts,"Adeste Fidelis, March Religious",8,2-242,,X-mas march,Fischer,,,,
Marching Band,Chambers,Roberts,March Religioso,8,2-242,,Mardh,Fischer,,,,
Marching Band,Chambers,Roberts,Onward Christian soldiers (march religious),8,2-242,,March,Fischer,,,,
Marching Band,Chambers,,Hostrauser's Amrch,6,2-65,,March,Church,,,,
Marching Band,Chaplin,Cacavas,Terry Theme,14,3-73,,,Bourne,,,,
Marching Band,"Chaplin, Turner, Parsons","Cacavas, John",Smile,9,2-334,,,Bourne,,,,
Marching Band,Chattaway,,Rodeo,,3-268,,,William allen,,,,
Marching Band,Chenoweth,,Hail Varsity,9,2-318,,,,,,,
Marching Band,Cheyette,,The Whistler's march,Wksh 15,3-136,,March,Pro-Art,,,Simple,
Marching Band,Chopin,,Funeral March,8,2-198,,March,Fish,,,,
Marching Band,Christensen,Barngrover,"America, Let freedom Ring",11,2-450,,,,,,,
Marching Band,Christensen,Leonard,Procession to the Planets,11,2-448,,,,,,,
Marching Band,"Clarke, Herbert l.",,Flirtations,1,1-37,,,Fillmore,,,Cornet trio & band,
Marching Band,"Clarke, Herbert L.",,Stars in Velevety Sky,2,1-85,,,Fischer,,3:30,"Cornet, trombone, or Baritone solo",
Marching Band,"Clarke, Herbert l.",,The Debutant,1,1-30,,Caprice Brillante,Fischer,,,Cornet solo,
Marching Band,Codina,,Zacatecas,7,2-160,,Mexican march,Fischer,,,,
Marching Band,Cofield,,Coeur D' Alene Overture,Wksh 16,3-177,,,Leonard,,,,
Marching Band,Cofield,,Rock Right on,11,2-459,,Marching Band,Leonard,,,,
Marching Band,Cohan,Erickson,Yankee Doodle Boy,16,3-183,,,Belwin,,,,
Marching Band,"Coleman, Eryan",Alpert,Tijuana taxi,10,2-379,,,Leonard,,,,
Marching Band,Constantino,,Warwick,18,3-238,,Workshop,Bourne,,,,
Marching Band,Corelli,Gordon,Sarabande & Garotte,Wksh 14,3-90,,Classical,Bourne,,,From concerto Grosso #8,
Marching Band,Corelli,Suchoff,Dance Suite for Band,16,3-169,,,Bourne,,,2 mvt. Sarabande - Allegro,
Marching Band,Cornell,,On the street,6,2-105,,March,Belwin,,,,
Marching Band,Cosby/Moy/Wonder,,Uptight,10,2-412,,,,,,,
Marching Band,"Crawford, Robert","Bennett, David",The army air corps,5,38026,,March,Fischer,,,,
Marching Band,Cummings,,Holiday march,6,2-62,,March,Kjos,,,,
Marching Band,Darcy,,Trio for Trumpets,Wksh 15,3-144,,"Tpts, & Band",Bourne,,,,
Marching Band,Darcy,,With Flags Unfurled,Wksh 15,3-116,,Concert March,Bourne,,,,
Marching Band,Davis -Mitchell,Leonard,You are my sunshine,8,2-217,,Pop,Leonard,,,,
Marching Band,"Davis, Albert",,Fantasie on the danish Theme,Wksh 18,3-241,,,Byron-Douglas,,,,
Marching Band,De Lamater,,Little Brown Jug,7,2-171,,Pop,Rubank,,,,
Marching Band,Debussy,Erickson,Reveries,16,3-195,,,Belwin,,,,
Marching Band,"Debussy, Claude","Weiss, Anton",The girl with the flaxen hair,1,1-38,,Prelude,,,,"Extract from ""preludes, Book I""",
Marching Band,Della Cese,,"Little English Girl, the",3,1-151,,Symp. March,O.Pagani & Bro.,,,,
Marching Band,Dill,Briegel,Synocracy,11,2-441,,,,,,,
Marching Band,"Dodd, James","Moffit, Bill",Mickey Mouse March,12,2-495,,,,,,,
Marching Band,"Dreyer, Ruby",Carter,Cecilia,9,2-331,,,Bourne,,,,
Marching Band,Duble,,Circus King,9,2-318,,,,,,,
Marching Band,Elbel,,"Voctors, the",7,2-164,,March,Melrose,,,,
Marching Band,"Ellington, Duke",Yoder,Rhythmoods,2,1-80,,Modern medley,Mills,,,Cond.,"Sophisticated lady, mood Indigo, Black & tan Fantasy"
Marching Band,English,,Royal Decree,9,2-264,,March,Barnhouse,,,,ARMY ROTC
Marching Band,Erickson,,Balladair,Wksh 13,3-36,,,Bourne,,,Full,
Marching Band,Erickson,,Beaded Belts,Wksh 15,3-111,,Concert March,Bourne,,,,
Marching Band,Erickson,,Black Canyon of the Gunnison,Wksh 14,3-88,,Tone Poem,Bourne,,,Full,
Marching Band,Erickson,,Chaconne,16,3-166,,,Bourne,,,Full,
Marching Band,Erickson,,Chorale & fugato,15,3-108,,,Bourne,,,Full,
Marching Band,Erickson,,Deep River Suite,Wksh 15,3-101,,Suite,Bourne,,7:10,,
Marching Band,Erickson,,Fantasy for Band,Wksh 14,3-77,,,Bourne,,,Full,
Marching Band,Erickson,,First Symp. For Band,15,3-107,,,Bourne,,,Full,
Marching Band,Erickson,,Golden Gate,16,3-150,,Overture,Bourne,,,Full,
Marching Band,Erickson,,Gridiron Pageant,Wksh 15,3-123,,Quickstep March,Bourne,,,,
Marching Band,Erickson,,Irish Folk Song Suite,Wksh 13,3-19,,Suite,Bourne,,,,
Marching Band,Erickson,,Keynoter,15,3-132,,March,Bourne,,,,
Marching Band,Erickson,,Keynotes,Wksh 15,3-132,,March,Bourne,,,,
Marching Band,Erickson,,Legendary Air,Wksh 13,3-4,,,Bourne,,,,Missing FL & TRBI parts
Marching Band,Erickson,,Norwegian Folk song Suite,Wksh 13,3-26,,Suite,Bourne,,,,
Marching Band,Erickson,,Overture for Billy,15,3-106,,,Bourne,,,Full,
Marching Band,Erickson,,Scherzo for Band,Wksh 16,3-149,,,Bourne,,,Full,
Marching Band,Erickson,,Soliloquy,Wksh 16,3-151,,,Bourne,,,Full,
Marching Band,Erickson,,Tamerlane,Wksh 14,3-83,,,Bourne,,,,
Marching Band,"Erickson, Davis, Reed",,A Nordic trilogy,17,3-227,,,Byron-Douglas,,,Full,
Marching Band,"Erickson, Frank",,Alla Marcia,17,3-221,,,Bourne,,4:30,Full,
Marching Band,"Erickson, Frank",,Neo-Classic Suite,17,3-229,,Suite,Bourne,,,Full,
Marching Band,"Erickson, Frank",,Rondo Giocoso,Wksh 17,3-220,,,Bourne,,7:30,Full,
Marching Band,Farrar,Ahronheim,You're the one that I want,12,2-509,,,Stigwood,,,,
Marching Band,Farrar,,Bombasto,5,2-16,,March,Fischer,,,,
Marching Band,"Fillmore, H",Nine,Americans We,2-311,,,,,,,,
Marching Band,"Fillmore, H",,Circus Bee,9,2-317,,,,,,,
Marching Band,"Fillmore, H",,Footlifter,5,2-44,,March,Fillmore,,,,
Marching Band,"Fillmore, H",,His Hono,5,2-60,,March,Fillmore,,,,
Marching Band,"Fillmore, H",,"Klaxon, The",6,2-74,,March,Fillmore,,,,
Marching Band,"Fillmore, H",,Lassus Trombone,9,2-303,,,,,,,
Marching Band,Fink,,City Guardians,5,2-27,,March,Volkwein,,,,
Marching Band,Finlayson,,Flash of Crimson,9,2-325,,,,,,,
Marching Band,Finlayson,,Storm King,6,2-119,,March,Boosey & Hawkes,,,,
Marching Band,Fogarty,Yoder,Saturday afternoons,9,2-339,,,Keys-Hansen,,,,
Marching Band,Foster,Heine,"Oh, Susanna",8,2-224,,,Fox,,,,
Marching Band,Foster,McLeod,"Oh, Susanna",8,2-201,,,Schmitt,,,,
Marching Band,Fox/Robbin,Kenny,Wide world of sports,10,2-421,,,,,,,
Marching Band,"Franck, Cesar","Wilson, George",Panis Angelicus,2,1-71,,,Fischer,,3:00,Cond,
Marching Band,Frangkiser,,Honor Bright,16,3-187,,,Belwin,,,,
Marching Band,Frangkiser,,Telecast Overture,Wksh 15,3-132,,Overture,Belwin,,,,
Marching Band,Fred,,Country dance,Wksh 24,3-72,,Dance,Belwin,,,Full,
Marching Band,friedman,leidzen,Down the field,5,2-38,,March,Feist,,,,
Marching Band,"Friend, Clare, Brown",Osterling,Then I'll Be happy,9,2-320,,,,,,,
Marching Band,Friml,Schoenfeld,March of the Musketeers,10,2-84,,Concert march,Harms,,,,
Marching Band,Frontiere,,Hang'em High,11,2-427,,,,,,,
Marching Band,Fucik-Laurendeau,Seredy,Thunder & Blazes,7,2-143,,March,Fischer,,,,
Marching Band,"Gershwin, George",Billingsley,Show Business,9,2-293,,Football,MS,,,,
Marching Band,"Gershwin, George",Halle,Strike up the band,8,2-192,,Pop,Harms,,,,
Marching Band,"Gershwin, George",Moffit,But Not For Me,10,2-390,,,New World Music,,,Full,
Marching Band,"Gershwin, George",Moffit,Swannee,10,2-392,,,New Wold Music,,,Full,
Marching Band,"Gershwin, George",Watson,the little Rhapsody in Blue,2,1-79,,,Harms,,3:15,Cond.,No Piano
Marching Band,"Gershwin, George",,Strike up the band for UCLA,2,1-88,,Military fox trot,Harms,,,,w/ strings
Marching Band,Gill,,Anthes March,5,2-8,,March,Star,,,,
Marching Band,Gimbel/Fox,Hill,Happy days,11,2-440,,,,,,,
Marching Band,Giovannini,Powers,Alla Barocco,11,2-470,,Marching band,Sam Fox,,,,
Marching Band,Giovannini,,Overture in Bb,17,3-234,,Workshop,Sam Fox,,,Full,
Marching Band,Goldman,Lake,On the Mall,6,2-103,,March,Fischer,,,,
Marching Band,Goldman,Leidzen,Patience & Fortitude,6,2-110,,March,Fischer,,,,
Marching Band,Goldman,,Cherokee,5,2-23,,March,Fischer,,,,
Marching Band,Goldman,,Golden gate,5,2-52,,March,Belwin,,,,
Marching Band,Goldman,,On the hudson,9,2-265,,Concert march,Templeton,,,,Amry rotc
Marching Band,"Goldman, Edwin Franco",,Kindergarten March,1,1-49,,Fantasy,Mills,,,Cond.,
Marching Band,"Goldman, Edwin Franco",,Shenandoah,7,2-123,,March,Schirmer,,,,
Marching Band,"Goldmark, Carl",Lake,In the garden,1,1-45,,Selection,,,,Cond.,"From ""rural wedding sym"""
Marching Band,"Goldmark, Gold",Laurendeau,Bridal Song,1,1-15,,Intermezzo,,,3:00,Cond.,"from ""Rural Wedding Symphony"""
Marching Band,"Gould, Morton",Yoder,Pavanne,2,1-76,,Dance,Mills,,,Cond,2nd mvt. Of American Symphonette #2
Marching Band,Grafulla,,Washington Greys,7,2-155,,March,Fischer,,,,
Marching Band,Graham,,Little Mo,WK 15,3-118,,Overture,Pro-Art,,,,
Marching Band,"Granados, Enrique",Gordon,"Last Paven, The",16,3-176,,,Sam Fox,,,,
Marching Band,Green,Bukvich,Chromatic Fox trot,,839,,Xylphone solo w. accomp.,,,,,
Marching Band,Hadel,Gordon,Two 18th Century dances,15,3-147,,,Bourne,,,Full,
Marching Band,Hall,Eisenberg,Eyes of texas,7,2-182,,Medley,Volkwein,,,,
Marching Band,Hall,,Independentia,6,2-68,,March,Fischer,,,,
Marching Band,Hall,,New Colonial March,6,2-98,,March,Church,,,,
Marching Band,Hall,,Officer of the Day,6,2-99,,March,Lyon & Healy,,,,
Marching Band,Hall,,SIBA,7,2-126,,March,Fischer,,,,
Marching Band,"Hamm, Be-nett, Lown, Gray","Cacavas, John","Bye, Bye Blues",9,2-326,,,Bourne,,,,
Marching Band,Handel,Malin,Water music,1,1-1,,Orchestral Exerpt,Boosey & Hawkes,,,,
Marching Band,"Handel, G.F.","Malin, Don",Allegro maestoso,1,1-1,,Exerpt,Boosey & Hawkes,,Cond,"from \""Water Music\""",
Marching Band,Handy,Cooke,Let us cheer the weary traveler,11,2-447,,,,,,,
Marching Band,Handy - Gray,Burgett,St. louis Blues march,8,2-191,,March,Handy,,,,
Marching Band,Harline,Beeler,When you wish upon a star,14,3-70,,,Bourne,,,Full,
Marching Band,"Hartford, J.",,Gentle on my mind,10,2-416,,,,,,,
Marching Band,Hathaway,,Short'nin' Bread special,Wksh 15,3-115,,Novelty,Bourne,,,,
Marching Band,"Havlicek, Lumir",,Sunset Trail,17,3-209,,Overture,Belwin,,,,
Marching Band,Hayes,,Necoid,6,2-97,,March,fillmore,,,,
Marching Band,Helbig,,Introduction & Tango,Wksh 14,3-80,,,Bourne,,3:30,,
Marching Band,Helbig,,Short Piece for Band,Wksh 14,3-92,,Concert,Bourne,,2:30,Full,
Marching Band,Herbert,Leidzen,Cosmopolitan,5,2-33,,March,Feist,,,,
Marching Band,Herfurth,,Mexian Dance,15,3-112,,,Bourne,,,,
Marching Band,Herfurth,,Overture Moderne,15,3-109,,,Bourne,,,,
Marching Band,Herfurth,,Triumphaht,wksh 15,3-127,,Processional,Bourne,,,Full,
Marching Band,"Herfuth, Paul",,Mexican dance,Wksh 15,3-112,,,Bourne,,,,
Marching Band,"Herfuth, Paul",,Old Time waltz Medley,15,3-114,,Elementary,Bourne,,,,
Marching Band,Hill,,Hand Me Down My Walking Cane,Wksh 15,3-126,,Swing Novelty,Bourne,,,,
Marching Band,"Hill, William",,Men of Custer,35,541,,Symp. March,Byron-Douglas,,,Cond,Workshop
Marching Band,Hoisington,Alford,"Liberator, the",6,2-75,,March,Hoisington,,,,
Marching Band,Holland/Dozier/Devol,,Happening. The,10,2-412,,,,,,,
Marching Band,"Holmes, Jake",Kerchner,Feelin' 7 up,12,2-504,,March,Seven-up company,,,,
Marching Band,Holt/calvi,Cable,One of those songs,9,2-300,,,,,,,
Marching Band,Holzmann,Lampe,Spirit of Independence,7,2-131,,March,Remick,,,,
Marching Band,"Homes, John","Sweeney, Mike",Don't you feel good about 7 up,12,2-496,,,7 up,,,,
Marching Band,Howell,Swingley,Up with montana,9,2-299,,,,,,,
Marching Band,Howell,Teel,Up with montana,8,2-230,,,MS,,,,
Marching Band,Huffer,,Black Jack march,5,2-14,,March,Cole,,,,
Marching Band,"Huffine, G.H",,Them Basses,12,2-505,,,Fillmore,,,,
Marching Band,Hughes,harris,St. Julian,7,2-133,,March,Cundy-Bettoney,,,,
Marching Band,Humperdinck,Erickson,Hansel & Gretel Overture,16,3-194,,,Belwin,,,,
Marching Band,Jackson,,High Barbary,Wksh 13,3-27,,Overture,Bourne,,,Full,
Marching Band,"Jarnefelt, Armas",Lake,Prelude & Berceuse,2,1-73,,,Fischer,,,Cond,
Marching Band,"Jenkins, J.W.",,Charles Country Overture,Wksh 15,3-100,,,Bourne,,,Full,
Marching Band,Jerry Feilding,,Hogan's heros March,12,2-492,,,Leonard,,,,
Marching Band,Jessel,,Parade of the Wooden Soliders,6,2-109,,March,Marks,,,,
Marching Band,Jewell,Nine,Screamer,2-263,march,,Barnhouse,,,,,AMRY ROTC
Marching Band,Johnson,,Choo-Choo- to Idaho,8,2-225,,Pep song,Manuscript,,,,
Marching Band,Johnson,,Crimson Dawn,Wksh 14,3-58,,Overture,Belwin,,,Full,
Marching Band,Johnson & Chaloner,,Divertimento for band,Wksh 16,3-179,,,Bourne,,,,
Marching Band,"Johnson, Clair",,Mountain Home,16,3-159,,Overture,Belwin,,,,
Marching Band,"Johnson, Clair",,Westward ho!,16,3-153,,"March, Nocturn",Belwin,,,,
Marching Band,Johnston,,Stand up and cheer,7,2-181,,,,,,,
Marching Band,"Johnston, D",,Ritual for Band,16,3-168,,,Bourne,,,Full,
Marching Band,"Jolson, Rose, Dreyer",Warrington,Back in your own back yard,9,2-330,,,Bourne,,,,
Marching Band,Jones,Cable,Ironside theme,11,2-478,,,,,,,
Marching Band,Joplin,Walters,Maple Leaf Rag march,9,2-340,,Jazz March,Rubank,,,,
Marching Band,Jude,"DeVille, Paul",The mighty Deep,2,1-59,,Tuba solo & band,Fischer,,,,
Marching Band,Karmen,Moffit,Medley of Budweiser Songs,12,2-493,,,Elsmere,,,,
Marching Band,"karmen, S",Mutchler,Olympia Beer Theme,11,2-434,,,,,,,
