Library,Composer,Arranger,Title,Drawer,Envelope,Copies,Type,Publisher,PerformanceDate,PlayingTime,Score,Comments
Marching Band,Karmer,Moffit,Carry the Big Fresh Flavor,11,2-464,,Marching band,Leonard,,,,
Marching Band,"Kay, Ulysses",,Short Suite,18,3-243,,,Assoc. Music,,,Full,
Marching Band,"Kenny, C, & N",Carter,Love Letters in the sand,9,2.323,,,Bourne,,,,
Marching Band,"Kenny, Charles, & Nick",Carter,Cathedral in the pines,17,3-215,,Marching Band,Bourne,,,,
Marching Band,Kent-Drake,"loan, Van",Don't just stand there,5,2-36,,Modern,Broadcast,,,,
Marching Band,Kenton,Seiler-Bentz,Peanut vendor,12,470,,Marching Band,,,,,
Marching Band,Kern,Lindemann,Smoke Gets in your eyes,7,2-178,,Pop,Harms,,7:29,,
Marching Band,Key,Fillmore,Star Spangled Banner in Bb- trumpeting,8,2-195,,Patriotic,Fillmore,,,,
Marching Band,Key,Leaman,Star-Spangled Banner (in Ab),8,2-199,,,,,,,
Marching Band,Key,Moffit,Star-spangled Banner & fanfare Ab&Bb,10,2-384,,Patriotic,Leonard,,,Full,
Marching Band,Key,Sousa,The Star-spangled Banner,8,2-205,,,Fischer,,,,
Marching Band,Key/Smith,Leaman,The Star- Spangled banner (In Ab),9,2-294,,,,,,,
Marching Band,Khachaturian,Cheyette,"Sabre Dance from ""Gayne Ballet""",7,2-179,,Dance,Leeds,,,,
Marching Band,King,,Auld lang syne,7,2-165,,March,King,,,,
Marching Band,King,,Barnum & Bailey's favorite,5,2-11,,March,Barnhouse,,,,
Marching Band,King,,Goldman Band,5,2-54,,March,King,,,,
Marching Band,King,,Hosts of freedom,6,2-64,,March,King,,,,
Marching Band,King,,invictus,6,2-70,,March,King,,,,
Marching Band,King,,Iowa centennial,6,kin2-71,,March,King,,,,
Marching Band,King,,Michigan on Parade,6,2-90,,March,King,,,,
Marching Band,King,,Ohio Special,6,2-100,,March,King,,,,
Marching Band,King,,Omar Kayyam,2,1-70,,Overture Miniature,King,,,,
Marching Band,King,,Rifle Rangers,6,114,,March,Barnhouse,,,,
Marching Band,King,,Triumph March,7,2-146,,March,Barnhouse,,,,
Marching Band,King,,"Trombone king, the",7,2-147,,March,King,,,,
Marching Band,King,,University of Chicago,7,2-150,,March,King,,,,
Marching Band,King,,University of Idaho,7,2-151,,March,King,,,,
Marching Band,Kinyon,,Appalachian suite,Wksh 14,3-84,,Suite,Bourne,,,,
Marching Band,Kinyon,,Creole Suite,Wksh 14,3-78,,Suite,Bourne,,,Full,1. Bamboula 2. Berceuse 3. Marche petite
Marching Band,Kinyon,,Salute to Grieg,16,3-185,,,Belwin,,,,
Marching Band,Kinyon,,Salute to Mozart,16,3-181,,,Belwin,,,,
Marching Band,"Kinyon, John",,Salute to Beethoven,Wksh 17,3-201,,,Belwin,,,,"Themes from 9th, 7th, 5th symphonies"
Marching Band,"Kinyon, John",,Tangotoon,Wksh 17,3-202,,,Belwin,,,,
Marching Band,Klohr,,Billboard march,5,2-12,,March,Church,,,,
Marching Band,Knighton,,Two Tunes,16,3-193,,,Belwin,,,,
Marching Band,Koenig,Soderberg,ROA & Soliders of the ORC,6,2-117,,March,MS,,,,
Marching Band,Korsakon,Johnson,Intro #4 to Capriccio Espagnol,8,2-227,,,,,,,and manuscript masters
Marching Band,Krance,,Sagebrush Trail,16,3-172,,Jr. Band,Remick,,,Full,
Marching Band,La Mare,Alford,Starlight (Andantino),7,2-134,,,Kjos,,,,
Marching Band,"La Prise, Macak + Baker",Leonard,Hokey Pokey,11,2-469,,Marching band,Leonard,,,,
Marching Band,Laas,, A Concert Digest,16,3-184,,Satire /w/ narr,Belwin,,,,
Marching Band,Laas,,Legend of Little John,Wksh 14,3-91,,Overture,Belwin,,,Full,
Marching Band,Laas,,Skyline Silhouettes,16,3-186,,Cor.- Bone-Bar. Sol,Belwin,,,,
Marching Band,Laas & weber,,Skitime Bandette Folio,Cab 7,,,Pep band Folio,Belwin,,,,
Marching Band,"Laas, Bill",,Washington Park,Wksh 17,3-198,,March,Belwin,,,,Young Band
Marching Band,Lacalle,Becker,Amapola,7,2-166,,Pop,Marks,,,,
Marching Band,"Lake, Sol","Alpert, Herb",Mexican Shuffle (Clark Gum Shuffle),10,2-404,,,Leonard,,,,
Marching Band,"Lambert, Louis",Erickson,When johnny comes Marching Home,17,3-203,,,Belwin,,,Full,
Marching Band,Lamm,Edmondson,State of the union,11,2-461,,Marching band,,,,,
Marching Band,Lamm,Lisinger,25 or 6 to 4,12,2-472,,Marching band,Leonard,,,,
Marching Band,Lamm,Tatgenhorst,Free,11,2-475,,Marching band,,,,,
Marching Band,Lamn,Edmondson,Saturday In the park,11,2-466,,Marching band,,,,,
Marching Band,Lamn,Kisinger,Dialogue (excerpts parts 1 & 2),11,2-467,,Marching band,Leonard,,,,
Marching Band,Lampe,,Daughters of the maerican revolution,5,2-34,,March,Remick,,,,
Marching Band,LaValle,,Band of America,5,2-10,,March,Fox,,,,Marching edition
Marching Band,LaValle,,Dwight D. Eisenhower march,9,2-328,,,,,,,
Marching Band,LaValle,,"Merrymakers, the",6,2-89,,March,Fox,,,,Para. On Jolly Coppersmith
Marching Band,"Lecuona, Ernesto","Bowles, R.W.",Malaguena,11,2-395,,Marching band,Marks,,,Cond,w/ field formations
Marching Band,"Lehar, Franz",Davis,Villa,17,3-236,,Workshop,Byron-Douglas,,,Cond,
Marching Band,"Leigh, M",Warrington,"Impossible dream, the",10,2-399,,,,,,,
Marching Band,"Leigh, M",Warrington,Man of La Mancha,10,2-399,,,,,,,
Marching Band,Lemmer,Clark,University of Portland Right Song,8,2-232,,,MS,,,,
Marching Band,Leonard,,Parade music #1,8,2-233,,March,Leonard,,,,
Marching Band,Leonard,,Parade Music #2,8,2-234,,March,Leonard,,,,
Marching Band,Leonard,,Skyrockets,7,2-128,,Desc. March,Ditson,,,,
Marching Band,Leoni,,Trombonic Rhapsody,Wksh 15,3-117,,Show,Belwin,,,,
Marching Band,"Leucona, Ernesto",Yoder,Siboney,8,2-208,,Dance-rhumba,Feist,,,,
Marching Band,Lewis,Leonard,When my babu smiles at me,8,2-219,,Pop,leonard,,,,
Marching Band,"Lewis, Bob",Briegel,Men in Blue,10,2-382,,Air force,Starr& Hitt Mus,,,Cond.,
Marching Band,Lewis-De Rise,Yoder,Song of the Seabees,7,2-127,,March,Robbins,,,,
Marching Band,Lippman,Leonard,Too Young,8,2-213,,Pop,Leonard,,,,
Marching Band,Lithgow,Laurendeau,Invercargill,6,2-69,,March,Fischer,,,,
Marching Band,Lithgow,Taylor,March of the anzacs,6,2-81,,March,Fischer,,,,
Marching Band,"Loboda, Samuel",,Broadcaster's March,17,3-213,,March,Nat. Ass. Broadcasters,,,,w/ Band Show
Marching Band,Loesser,Yoder,New ashmolean marching society,10,2-349,,,Morris,,,,
Marching Band,Long,,Squads right,7,2-132,,March,Agnew,,,,
Marching Band,"Lotter, Adolf",,Dunkirk,10,2-371,,March,Boosey & Hawkes,,,,
Marching Band,Lovas,Arr. Haskin,Armed Forces March,9,2-341,,,Lovas,,,,
Marching Band,Lully,Piato,Little French Suite,16,3-161,,Suite,Belwin,,,,
Marching Band,Lusk,Zamecnik,Boots and Saddles,5,2-17,,March,Fox,,,,
Marching Band,Luther,Becker,I'm in the army now,6,2-67,,Pop,Broadcast,,,,
Marching Band,Mader,,A.A. Harding March,5,2-1,,March,Columbia Inst. Co,,,,
Marching Band,Mader,,General Ike March,5,2-48,,March,None,,,,
Marching Band,Mader,,Thirty-third Divison march,7,2-141,,March,Jay,,,,
Marching Band,Mader-Huffer,,National Music educators March,6,2-95,,March,Columbia Inst Co,,,,
Marching Band,Mainente,Mainente,Reminiscences,11,2-446,,,,,,,
Marching Band,"Malotte, Albert Hay",Lake,The lord's Prayer,2,1-52,,religious,Schirmer,,,Cond.,For solo voice or instrument
Marching Band,"Mancini, Henry",Bilik,Baby Elephant walk,10,2-380,,,Famous Music,,,,
Marching Band,"Mancini, Henry",,Pink Panther,11,2-381,,,Famous Music,,,,
Marching Band,Manilow/panzer,Vinson,Even now,11,2-436,,,,,,,
Marching Band,Martin 7 pizzuto,,Come to the Zoo,17,3-222,,,Bourne,,,Full,
Marching Band,Mason,,Nearer my God to Thee,8,2-198,,Religious,Fischer,,,,
Marching Band,"McBeth, Francis",,Grace Praeludium,Wksh18,3-266,,,Southern,,,,
Marching Band,"McBeth, Francis",,Joyant Narrative,17,3-232,,Workshop,Southern,,,,
Marching Band,McCarthy-Tierney,Schulz,Alice Blue Gown,7,2-167,,Pop,Feist,,,,
Marching Band,McCoy,,Lights out,6,2-76,,March,Fischer,,,,
Marching Band,McDonald,,I love the sunshine of your smile,10,2-358,,,Leonard,,,,
Marching Band,McLeod,,How the blues began,10,2-353,,Pop,Schmitt-hall-McCreary,,,,
Marching Band,Mcmackin - Arberg,Yoder,Army chemical corps,9,2-304,,March,Associated,,,,
Marching Band,McMahon- Hofer,,Guardian of the colors,5,2-55,,March,Belwin,,,,
Marching Band,"Mcvey, Larry",,Brasila,18,3-239,,Workshop,Byron-Douglas,,,,
Marching Band,Mendelssohn,Erickson,Elegy,16,3-157,,,Belwin,,,,
Marching Band,Mendelssohn,Kinyon,Salute to Beethoven,16,3-156,,,Belwin,,,,
Marching Band,Meretta,,Men of Might,6,2-87,,March,Boosey & Hawkes,,,,
Marching Band,Merrick,,To Look Sharp,9,2-259,,March,Gordon,,,,
Marching Band,Merrill,Leonard,Sparrow in the treetop,8,2-221,,Pop,Leonard,,,,
Marching Band,"Mersey, R & Hunsberger, D",,A Jazz Suite,Wksh 18,3-255,,,Sam Fox,,,Cond,
Marching Band,Mesang,,"Little champ, the",6,2-79,,March,Fillmore,,,,
Marching Band,Mesang,,Men of Wisconsin,6,2-88,,March,Fillmore,,,,
Marching Band,Mesang,,Symbol of Honor,7,2-136,,March,Fillmore,,,,
Marching Band,Milligan,,On the march,6,2-104,,March,Belwin,,,,
Marching Band,Minelli,,Ballad for winds,16,3-171,,,Bourne,,,Full,
Marching Band,Monaco,Leonard,"Row, Row, Row Your Boat",8,2-220,,Round,Leonard,,,,
Marching Band,"Moore, Dan",,Bible stories Suite,Wksh 14,3-82,,Suite - 3 mvt,Bourne,,,Full,
Marching Band,"Moore, Don",,Seadragon,Wksh 15,3-99,,Concert March,Bourne,,,Full,
Marching Band,"Morey, Churchhill","Cacavas, John",Whistler while you work,9,2-321,,,Bourne,,,,
Marching Band,Morey. Churchhill,"Cacavas, John",Heigh Ho,9,2-322,,,Boune,,,,
Marching Band,Morricone,Warrington,"Good, the bad & the ugly, the",11,2-427,,,,,,,
Marching Band,"Morrisey, John",,Interlude,1,1-42,,Solo bb clarinet & band,Remick,,4:00,Cond.,
Marching Band,Morrison,Wheeler,Hail Marines,5,2-56,,March,Huntington,,,,
Marching Band,Moszkowaki,Vitto,Danza Espanola- Moszkowski,35,542,,,Byron-Douglas,,,Cond,Workshop
Marching Band,Moten-Hayes,Leonard,South,8,2-253,,Pop,Leonard,,,,
Marching Band,"Moussorgsky, Modest",Eymann,Great Gate of Kiev,Wksh 17,3-204,,Full,Belwin,,,,
Marching Band,"Moussorgsky, Modest",Isaac,Hopak,Wksh 16,3-178,,,Belwin,,,,
Marching Band,Mozart,Beeler,"Alleluja from exulate, Jubilate",Wksh 16,3-145,,,Schirmer,,,,
Marching Band,Mozart,Bellis,18th century drawing room,8,2-246,,,MS,,,,
Marching Band,Musser,,Arabesque,Wksh 13,3-37,,,Bourne,,,Full,
Marching Band,Nbratton & O'Hara,Carter,One World,17,3-214,,Marching Band Arr.,Bourne,,,,
Marching Band,"Nelhybel, Vaclav",,Ballad,Wksh 18,3-251,,,J. Christopher,,8:30,Full,
Marching Band,"Nelhybel, Vaclav",,Evening song,Wksh 18,3-252,,,J. Christopher,,3:00,Full,
Marching Band,Norman,,A Capsule History of american in Music,11,2-482,,,,,,,
Marching Band,Norman,,Get it on!/ fancy colours fanfare,9,2-276,,,,,,,
Marching Band,Norman,,Scarborough fair/ Classical Gas,9,2-273,,,,,,,
Marching Band,Norman,,Trolley song,,2-500,,,,,,,
Marching Band,Nyro,Nowak,Wedding Bell Blues,11,2-463,,Marching band,Warner Bros.,,,,
Marching Band,O'Brien/Stoner,O'Brian,The Spirit of America,11,2-456,,,,,,,
Marching Band,O'Hara,Leidzen,America Thou Blessed land,5,2-5,,Partriotic,Marks,,,,
Marching Band,Oldham & Hale,,Six Fifty East,16,3-182,,Concert March,Belwin,,,,
Marching Band,"O'Neill, John",,An April Overture,17,3-226,,,Bourne,,6:00,Full,
Marching Band,"O'Neill, John",,Starlight,Wksh 14,3-69,,Fantasy overture-elem,Boston,,,,
Marching Band,Osterling,,Busman's Holiday,Wksh 15,3-134,,Concert March,Bourne,,,,
Marching Band,Osterling,,Sambalita,Wksh 16,3-152,,Latin,Bourne,,,,
Marching Band,Osterling,,Swing Out,15,3-130,,March,Bourne,,,,
Marching Band,Osterling,,Thrills a plenty,Wksh 15,3-124,,Quickstep March,Bowine,,,,
Marching Band,Osterling,,Totem Pole,Wksh 15,3-98,,Concert March,Bourne,,,,
Marching Band,"Osterling, eric",,Charter oak,Wksh 15,3-122,,Concert March,Bourne,,,,
Marching Band,"Osterling, eric",,Swing Out,wksh 15,3-130,,March,Bourne,,,,
Marching Band,"Osterling, Eric",,The Nutmeggers,Wksh 15,3-110,,Concert March,Bourne,,,,
Marching Band,"Osterling, Eric",,We Know Cha-Cha,Wksh 18,3-249,,Workshop,Belwin - Mills,,,Cond,
Marching Band,Ostling,,Drummin' Thru The Rye,16,3-154,,Perc. Solo,Belwin,,,,
Marching Band,Ostling,,Friends of Old,Wksh 15,3-139,,Concert March,Bourne,,,,
Marching Band,Ostling,,Golden Slippers,16,3-155,,Trom. Solo,Belwin,,,,
Marching Band,Ostling,,Parading the Brasses,15,3-141,,Concert march,Bourne,,,,Features solo brass
Marching Band,"Ostling, Acton",,Skip to my flute,17,3-208,,Flute feature,Belwin,,"3:10, cuts to 2:40",Full,
Marching Band,"Ostling, Acton",,"Swing Low, Sweet Saxes",17,3-205,,Sax Feature,Belwin,,2:55,Full,
Marching Band,"Overgard, Graham",,"Force of freedom, the",10,2-408,,March,Kjos,,,Cond,
Marching Band,"Overgard, Graham",,Peace Corps song,10,2-335,,,Kjos,,,,
Marching Band,Panella,,Flag of freedom,5,2-42,,March,Panella,,,,
Marching Band,Panella,,On the square,6,2-106,,March,Morris,,,,
Marching Band,Panella,,The fez march,5,2-41,,march,Panella,,,,
Marching Band,Partichelli,Fogelberg,Mexican Hat dance,8,2-190,,Dance-pop,Marks,,,,
Marching Band,Pat Lee,,Little Jumbo,3,1-157,,,,,,,
Marching Band,"Paulson, Joseph",,My Country,12,2-503,,,Handy Bros/,,,,
Marching Band,Perfect,,Mighty Oregon,6,2-91,,March,Melrose,,,,
Marching Band,Pestalozza,Alford,Ciribiribin,5,2-26,,Selection-novelty-concert march,Kjos,,,,
Marching Band,"Phillips, Peter",,Continuum for winds,Wksh 17,3-219,,,Bourne,,5:15,Full,
Marching Band,Phillips/larson,Phillips/Feller,Theme from Battle Galactica,8,2-207,,,,,,,
Marching Band,"Piato, A.R.",,Holiday in France,17,3-207,,,Belwin,,,,Frere jacques 2 Air clair de la Lune 3 La Frangesa 4 Can Can
Marching Band,"Piato, A.R.",,Holiday in Spain,16,3-191,,,Belwin,,,,
Marching Band,"Pinkard, Tracy, Tauber",Osterling,Them There Eyes,9,2-337,,,Bourne,,,,
Marching Band,"Ployhar, James",,"Balm in Gilead, A",35,543,,,Byron-Douglas,,,Cond,Workshop
Marching Band,Pola,Briegel,Marching along together,8,2-187,,Fox trot-March,Robbins,,,,
Marching Band,Pronk,McLeod,Gay nineties revue-football show,8,2-200,,,Schmitt,,,,
Marching Band,"Pronk, wenger, Prescott",McLeod,America the Beautiful (uncle Sam in review),,,,,Schmitt,,,,
Marching Band,"Pryor, arthur","Roberts, Charles J",Thoughts of Love,3,1-103,,Valse de Concert,Fischer,,5:15,Cond,"Cornet, trombone or baritone solo"
Marching Band,Purcell,Gordon,Air & water,Workshop 13,3-46,,Classic,Bourne,,,Full,
Marching Band,Purcell,Gordon,Song of Victory from King arthur,Wksh 14,3-74,,,Bourne,,,Full,
Marching Band,Purdy,Alford,On Wisconsin,6,2-107,,March,Broadcast,,,,
Marching Band,"Purdy, Joseph",,Festive March,Wksh 18,3-248,,Workshop,Belwin - Mills,,,,
Marching Band,Quaal,,U.S. Maritime Service march,10,2-358,,,Quaal,,,,
Marching Band,Ramin,Leonard,Music To Watch Girls By,10,2-411,,,,,,,
Marching Band,Ravel,,Bolero,10,2-365,,,,,,,
Marching Band,Redington/Woloshin,Edmunds,"You, You're the one",11,2-436,,,,,,,
Marching Band,Reed/Stephens,,There's a kind of hush,10,2-414,,,,,,,
Marching Band,Renick/Levine,Yoder,"Yummy, Yummy, Yummy",11,2-426,,,,,,,
Marching Band,Resbach,Clark,Trees,8,2-204,,Brass solo,Schirmer,,,,
Marching Band,Rhoads,,Three Ballads,Wksh 16,3-175,,,Fischer,,,,
Marching Band,Riato,,Country Squire,15,3-103,,Training,Belwin,,,,
Marching Band,Richards,,Homecoming,6,2-63,,March,Barnhouse,,,,
Marching Band,Ricks,,Or La Troix- Three Mediaval Tunes,16,3-167,,,Bourne,,,Full,
Marching Band,Ricks,,Three Mediaeval Tunes,16,3-167,,,Bourne,,,,
Marching Band,Rimasky-Korsakov,Johnson,"Scheherazade, Themes from",Wksh 14,3-87,,Selection,Belwin,,,Full,
Marching Band,"Rimsky-Korsakoff, Nicolai",Erickson,Y0ung Prince and the Princess,17,3-206,,,Belwin,,,Full,
Marching Band,Rimsky-korsakov,Johnson,Caprice Espagnole-intro fanfare # 1,8,2-227,,,MS,,,,
Marching Band,"Roberts, Pillar & Katz",,"Mister Touchdown, U.S.A.",10,2-385,,,Roger Music,,,,
Marching Band,"Rodgers, Richard",Billingsley,Oklahoma,9,2-282,,Marching,MS,,,,
Marching Band,"Rodgers, Richard",Moffit,Mountain Greenery,10,2-393,,,Harms,,,Full,
Marching Band,"Roig, Gongalo",Bowles,Yours (Quiereme Mucho),10,2-396,,Marching band,Marks Music Corp,,,Cond,w/ field formations
Marching Band,"Rose, Dixon, Henderson",Carter,That Old Gang of Mine,9,2-327,,,Bourne,,,,
Marching Band,Rosenkrans,,With Bands & Banners,7,2-157,,March,Volkwein,,,,
Marching Band,"Rudin, Rolf",,Der Traum des Oenghus,,"1161,1162",,,,,,,"Mvt. I: 1161_x000D_
Mvt. II: 1162"
Marching Band,Sadler & Moore,Warrington,Ballad of the Green Berets,10,2-388,,Pep band Folio,Cimino,,,,
Marching Band,Sanders,Leonard,I get ideas,8,2-244,,Pop,Leonard,,,,Z arrangements
Marching Band,Sayles-Cline,Edmondson,WSU Fight song,9,2-292,,,,,,,
Marching Band,Sayles-Cline,Wheeler,WSC Medley (fight song- alma Mater),8,2-186,,,Allen,,,,
Marching Band,"Schaeffer, Don",,Images of Time,Wksh 18,3-246,,Workshop,Barnhous,,,,Grade II
Marching Band,"Schoefer, willis",,Overture: fanfare & Capriccio,Wksh 16,3-174,,,Bourne,,,,
Marching Band,Scoot-Texidor,Ludlow,Air Force Blue,9,2-274 - 2-275,,March,None-A.F.,,,,
Marching Band,Scott-Texidor,Ludlow,U.S. Air Force Blue,9,"2-274,-5",,March,None AF,,,,
Marching Band,See army air corps,,General's March,5,2-9,,,,,,,
Marching Band,Seeger,Leonard,On top of old smokey,8,2-215,,Pop,Leonard,,,,
Marching Band,"Seibert, bob",,Jazz Time outs #5,10,2-386,,,KSM publications,,,Cond.,
Marching Band,"Seiler, David",,Pregame 1967,10,2-401,,Football pregame,M.S.,,,,
Marching Band,Seitz,,March of the marines,10,2-82,,March,Seitz,,,,
Marching Band,"Sherman, R&R",Bellis,Let's go Fly a Kite,10,2-367,,,,,,,
Marching Band,"Sherman, R&R",Christensen,It's a small world,11,2-442,,,,,,,
Marching Band,"Shostakovish, Dmitri",Lang,"Dance from the ""golden age"" Ballet",1,1-26,,Ballet exerpt,Mills,,,Cond.,
Marching Band,"Shostakovish, Dmitri","Lang, Phillip","Golden age ballet suite,the",1,1-26,,Ballet suite,Mills,,,Cond.,Dance exerpt
Marching Band,"Shostakovish, Dmitri",Magnini,"Golden age ballet suite, the",2,1-78,,Ballet exerpt,Edition Musicus,,2:15,Full,Polka exerpt
Marching Band,Shrode,Eakman,Coast Guardsman,5,2-28,,Patriotic March,Shrode,,,,
Marching Band,"Simons, marks",Osterling,All of Me,9,2-336,,,Bourne,,,,
Marching Band,"Simons, Moises",Bowles,"Peanut Vendor, the",10,2-407,,Marching band,Marks,,,Cond,
Marching Band,Skornicka,,Loyalty,6,77,,March,Rubank,,,,
Marching Band,Skornika,,Overture militaire,16,3-197,,,Belwin,,,,Haydn Theme
Marching Band,"Smetana, Bedrich","Nelhybel, Vaclav",Fanfares,Wksh 18,3-250,,,,,3:45,Full,"from the opera ""Libuse"""
Marching Band,Smith,,Canzone For Band,Wksh 15,3-95,,,Bourne,,,Full,
Marching Band,"Smith, Walter",,Bolero,1,1-13,,Cond.,Fillmore,,,,
Marching Band,"Smith, Walter",,Three Kings,3,1-105,,Cornet trio & band,Fillmore,,,,
Marching Band,"Snyder, Les",,Trumpet cheer,10,2-387,,Tpt Fanfare,MS,,,,
Marching Band,Solomon Levi,,Utah Man,7,2-185,,March,None,,,,
Marching Band,Sousa,Heine,Sabre & Spurs,5,2-47,,March,Fox,,,,
Marching Band,Sousa,Lake,U.S. Field Artillery,7,2-153,,March,Fischer,,,,
Marching Band,Sousa,Norman,Stars & Stripes Forever,11,2-455 & 2-476,,,,,,,
Marching Band,Sousa,Yoder,High school cadets,5,2-59,,March,Fischer,,,,
Marching Band,Sousa,,Black Horse Troop,5,2-13,,March,Fox,,,,
Marching Band,Sousa,,Daughters of Texas,5,2-35,,March,Presser,,,,
Marching Band,Sousa,,El Capitan,5,2-40,,March,Church,,,,
Marching Band,sousa,,Gladiator March,5,2-49,,March,Fischer,,,,
Marching Band,Sousa,,Golden Jubilee March,10,2-316,,,Fox,,,,
Marching Band,Sousa,,Hands across the sea,9,2-268,,March,Church,,,,
Marching Band,Sousa,,King Cotton,6,2-72,,March,Church,,,,
Marching Band,Sousa,,Manhattan Beach,6,2-80,,March,Church,,,,Also Kjos pub. Edition
Marching Band,Sousa,,Semper Fidelis,6,2-122,,March,Fischer,,,,
Marching Band,Sousa,,Sesqui -Centennial exposition march,8,2-251,,March,Fox,,,,ARMY ROTC
Marching Band,Sousa,,Sound Off,7,2-129,,March,Fischer,,,,
Marching Band,Sousa,,The gallant seventh,8,2-250,,March,Fox,,,,Army rotc
Marching Band,Sousa,,"Thunderer, the",7,2142,,March,Fischer,,,,2 arr. - orig simplified version is in drawer 12 # 492
Marching Band,Sousa,,Washington Post,7,2-156,,March,Fischer,,,,
Marching Band,"Sousa, John philip",Higgins,Sousa spectacular,18,256,,March Medley,Hal Leonard,,3:15,Full,
Marching Band,"Sousa, John philip",Yoder,"Thunderer, the",12,2-492,,March,Fischer,,,Yes,
Marching Band,"Sousa, John Philip",,Stars and Stripes Forever,7,2-135,,March,Church,,,,
Marching Band,Sower,,University of Idaho,7,2-152,,March,MS,,,,
Marching Band,Sparks,,Today/Company Q whistle march,11,2-424,,,,,,,
Marching Band,Springfield,"Cacavas, John",Georgu Girl,10,2-415,,,,,,,
Marching Band,St.Clair,,"Thunderbolt, the",7,2-144,,March,Volkwein,,,,
Marching Band,"Starke, Herman",Winter,Sabre et Lance,10,2-373,,March,Boosey & Hawkes,,,,
Marching Band,Steinberg,Tatgenhorst,Gospel John,11,2-443,,,,,,,
Marching Band,Sterling & Stoner,Yoder,Take off yourhat/ no flag like our own,10,2-351,,Medley,Rayster,,,,
Marching Band,Stewart-King,Leonard,Tennessee Waltz,8,2-216,,Pop,Leonard,,,,
Marching Band,"Still, William",,Folk Suite,17,3-216,,,Bourne,,8:00,Full,
Marching Band,"Stnley, Leo",Winter,The Contemptibles,10,2-372,,March,Boosey & Hawkes,,,,
Marching Band,Stone,Fogelberg,Idaho,6,2-66(also#953),,Pop tune,Mills,,,,
Marching Band,"Strange, Billy",Leonard,Limbo rock,,,,March,Leonard,,,,
Marching Band,Strauss,,Fanfare,3,1-156,,,,,,,
Marching Band,"Strauss, Richard",,Zarathustra,10,2-397,,Fanfare,MS,,,,
Marching Band,Stuart,,Lemon Merengue,16,3-173,,Latin,Remick,,2:30,Full,
Marching Band,Sweet,,Ringling Brothers Grand Entry,6,2-116,,March,Kjos,,,,
